name,lat,lon
"Camarillo, California",34.2163939,-119.0376024
"Cottage Grove, Minnesota",44.8277446,-92.9438218
"Sharpsburg, Maryland",39.4575994,-77.748882
"Fountain City, Wisconsin",44.1319078,-91.7187628
"Wantagh, New York",40.6837121,-73.5101258
"Linden, New Jersey",40.6220478,-74.2445902
"Suffield, Connecticut",41.9817631,-72.6506462
"Danvers, Massachusetts",42.5750946,-70.9300507
"Delran, New Jersey",40.0179845,-74.9434844711637
"Gwynedd Valley, Pennsylvania",40.1842749,-75.2562876
"Winona, Minnesota",44.049963,-91.6393152
"Wall Township, New Jersey",40.1743685,-74.0854012241279
"Eagan, Minnesota",44.818173,-93.1659179
"Nahant, Massachusetts",42.4264859,-70.9189371
"La Porte, Texas",29.6657838,-95.0193729
"Kinnelon, New Jersey",41.0017644,-74.367096
"Saratoga Springs, New York",43.0831301,-73.7845651
"Inola, Oklahoma",36.1512098,-95.5094195
"Temple, Texas",31.098207,-97.3427847
"Southgate, Michigan",42.2061167,-83.2046022014901
"Newton, Massachusetts",42.3370414,-71.2092214
"Sioux City, Iowa",42.4966815,-96.4058782
"Palm, Pennsylvania",40.4281539,-75.5329608
"Melrose, Massachusetts",42.4564323,-71.064182
"Tiffin, Ohio",41.114485,-83.1779537
"Dexter, Michigan",42.3383697,-83.8885553
"Flint, Michigan",43.0171773,-83.7236024
"Skokie, Illinois",42.0333694,-87.7333972
"Chalfant Borough, Pennsylvania",40.4103769,-79.8389029
"Allston, Massachusetts",42.3554344,-71.1321271
"Farmington, Maine",44.6706157,-70.1511729
"South Plainfield, New Jersey",40.5792701,-74.4115401
"Schenectady, New York",42.8095455,-74.021672
"Kenilworth, Illinois",42.0894728,-87.7149295
"Stanford, California",37.4265649,-122.170187551249
"Antelope, California",38.7082357,-121.3299513
"Valley Glen, California",33.7251081,-117.2019838
"Inglewood, California",33.9616801,-118.3531311
"Mahwah, New Jersey",41.0887072,-74.1437552
"Coon Rapids, Minnesota",45.1199652,-93.2877277
"Carmel, Indiana",39.9783711,-86.1180435
