Leslie Frates,,Spanish teacher,"Hayward, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6767,2014-02-04,3000,13800,3999,10600,16,2,1,1/1,4000,W,-9801,271,889
#4708,2005-02-09,5200,9900,0,14000,22,6,0,1/2,-2500,W,-9900,367,841
#4084,2002-05-09,4200,20400,20400,13000,13,0,2,1/1,9000,R,0,237,921
#4080,2002-05-03,5200,21700,22000,20400,20,1,1,1/1,2500,R,300,356,937
#2130,1993-12-03,2100,13000,4399,10800,24,1,0,2/2,3200,W,-8601,400,889
#2129,1993-12-02,200,6800,100,7800,23,6,0,0/1,-1000,W,-6700,390,873
#2126,1993-11-29,4800,11000,10000,12100,34,6,2,1/2,-600,W,-1000,567,905
#1656,1991-11-11,4300,6900,1399,6600,22,4,0,1/1,500,W,-5501,373,841
#1651,1991-11-04,1100,11700,13000,9900,22,1,2,2/2,3600,R,1300,383,921
#1489,1991-02-07,4500,8900,17401,8100,25,3,2,1/1,1200,R,8501,441,952
#1486,1991-02-04,2700,8000,7000,10300,27,4,2,0/1,-2300,W,-1000,458,762
