Eddie Timanus,,sports reporter,"Arlington, Virginia"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6786,2014-03-03,2400,14400,7700,14400,19,2,3,0/0,0,W,-6700,328,683
#4733,2005-03-16,2400,9600,19200,9200,18,6,1,1/1,2000,R,9600,322,889
#4081,2002-05-06,2400,800,0,7200,8,1,2,0/1,-6400,W,-800,136,825
#3627,2000-05-16,2900,4200,7300,7100,21,3,4,0/1,-2900,R,3100,373,873
#3623,2000-05-10,3900,7000,4399,4700,19,3,0,1/1,2700,W,-2601,322,698
#3482,1999-10-26,4600,6600,13200,6200,17,1,3,1/1,900,R,6600,305,873
#3481,1999-10-25,2300,11200,16400,8500,22,3,0,1/1,3700,R,5200,390,714
#3480,1999-10-22,3200,7000,13000,5700,18,4,0,2/2,2500,R,6000,317,841
#3479,1999-10-21,3100,12700,12700,12500,26,0,3,1/1,1200,R,0,458,889
#3478,1999-10-20,4000,7400,14400,6500,21,3,0,1/1,1100,R,7000,373,810
