Babu Srinivasan,,history professor at Prairie View A&M University,"Houston, Texas"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6786,2014-03-03,1200,2000,0,2000,8,4,1,0/0,0,W,-2000,138,683
#4710,2005-02-11,8800,17200,8700,15200,21,0,4,2/2,3800,W,-8500,350,794
#4082,2002-05-07,400,6000,12000,5600,10,3,3,1/1,1000,R,6000,186,762
#3946,2001-10-29,1600,10200,20400,6700,14,2,0,2/2,4400,R,10200,250,921
#3941,2001-10-22,3000,5800,11500,5100,11,0,1,1/1,1100,R,5700,203,905
#3862,2001-05-22,1200,6700,13300,8700,23,5,2,1/3,-1000,R,6600,393,762
#3861,2001-05-21,3200,9200,18300,5200,18,2,0,2/2,5200,R,9100,317,889
#3860,2001-05-18,1800,9000,14500,7800,23,2,1,2/2,2300,R,5500,400,905
#3859,2001-05-17,2200,15400,17700,9600,19,2,1,3/3,7800,R,2300,328,921
#3858,2001-05-16,1900,5700,11300,5700,16,2,0,0/0,0,R,5600,293,841
