Claudia Perry,,pop music critic,"San Jose, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6789,2014-03-06,2600,5800,11600,5800,12,4,0,0/0,0,R,5800,224,889
#4085,2002-05-10,1400,9400,0,15800,17,3,1,1/3,-4800,W,-9400,279,873
#4079,2002-05-02,4400,12400,17400,11200,18,8,2,1/1,2000,R,5000,322,857
#3101,1998-02-09,900,4500,9000,4100,14,2,0,1/1,800,R,4500,254,921
#3097,1998-02-03,1800,8000,7500,7400,19,4,1,2/2,1800,W,-500,317,857
#2847,1997-01-07,3200,5600,599,6100,21,4,2,0/1,-500,W,-5001,356,794
#2846,1997-01-06,4800,12600,12000,13500,27,2,2,1/2,-500,W,-600,450,921
#2845,1997-01-03,5200,7000,10001,6500,25,4,1,1/1,1000,R,3001,441,857
#2844,1997-01-02,3300,10300,13201,10800,26,3,3,2/3,1100,R,2901,443,937
#2843,1997-01-01,4300,9300,10101,10300,24,3,2,0/1,-1000,R,801,424,905
