Dave Traini,,teacher,"Medford Lakes, New Jersey"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4762,2005-04-26,4400,9000,6000,12000,18,7,1,0/1,-3000,W,-3000,305,857
#4711,2005-02-14,1600,12800,12800,12800,16,3,2,0/0,0,W,0,276,762
Super Jeopardy!,131990-09-08,200,-2800,-2800,-2800,6,5,0,0/0,0,-,0,276,810
Super Jeopardy!,121990-09-01,3400,16800,25700,18400,20,5,0,0/2,-1600,R,8900,350,841
Super Jeopardy!,91990-08-11,3000,20000,24000,10500,15,4,1,1/1,11500,R,4000,271,906
#740,1987-11-20,2200,4200,8400,4200,15,2,2,0/0,0,R,4200,276,794
#739,1987-11-19,1400,4600,7600,4600,16,2,1,0/0,0,R,3000,293,794
#736,1987-11-16,3100,10083,13083,9700,23,3,0,1/1,1183,R,3000,407,857
#731,1987-11-09,600,8400,8402,8000,22,3,1,1/1,1000,R,2,390,746
#484,1986-10-16,3600,7600,10500,7900,21,3,3,1/2,500,R,2900,367,714
#482,1986-10-14,2300,8700,5400,7300,20,4,2,1/1,2000,W,-3300,339,714
#480,1986-10-10,700,11201,14601,8900,21,4,1,2/2,3501,R,3400,367,889
