Tom Cubbage,,law student,"Bartlesville, Oklahoma"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6837,2014-05-13,3400,6600,8592,6600,11,0,1,0/0,0,R,1992,207,873
#6834,2014-05-08,3400,9800,19500,9800,14,2,0,0/0,0,R,9700,259,857
#6770,2014-02-07,2600,13000,16801,13000,15,0,4,0/0,0,R,3801,276,778
#4712,2005-02-15,6600,11600,15201,11800,19,1,2,1/1,1000,R,3601,339,746
Super Jeopardy! #7,1990-07-28,4600,12600,20601,12000,14,1,1,1/1,1400,R,8001,254,859
#1200,1989-11-17,1800,9100,9100,9500,19,2,1,2/2,1000,R,0,333,857
#1199,1989-11-16,850,6050,8100,5800,15,5,0,2/2,1250,R,2050,267,794
#1196,1989-11-13,2700,9300,11801,8200,21,1,1,2/2,2400,R,2501,367,810
#1194,1989-11-09,900,4100,8199,4100,8,1,0,0/0,0,R,4099,155,714
#1091,1989-05-08,4200,15400,15400,14600,34,3,3,1/2,1800,W,0,567,857
