Michael Rooney,,college instructor,"Pasadena, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4771,2005-05-09,6000,9200,5601,8600,18,4,1,1/1,1400,W,-3599,305,841
#4755,2005-04-15,2800,6000,10500,5600,14,5,0,1/1,1000,R,4500,254,778
#4728,2005-03-09,6800,24000,35201,24000,30,1,1,1/1,1000,R,11201,525,921
#3628,2000-05-17,1500,9000,199,5300,18,3,2,1/1,4300,W,-8801,305,778
#3624,2000-05-11,5900,15500,15500,11400,29,2,1,2/2,4800,R,0,500,889
#3402,1999-05-25,1900,7900,10200,6900,20,5,2,1/1,2000,R,2300,356,698
#3401,1999-05-24,4000,13200,6200,13600,34,2,4,2/2,1600,W,-7000,567,778
#3385,1999-04-30,1900,8300,13201,7100,20,2,0,1/1,2000,R,4901,356,873
#3384,1999-04-29,1200,9800,11800,8600,22,5,1,1/1,2000,R,2000,390,841
#3383,1999-04-28,4800,7800,8800,6500,22,5,2,2/2,2400,R,1000,383,762
