Dan Pawson,,legislative aide,"Boston, Massachusetts"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6833,2014-05-07,3400,10200,399,10200,18,2,0,0/0,0,W,-9801,310,746
#6810,2014-04-04,4700,15700,12700,12400,17,4,0,1/2,4900,W,-3000,283,746
#5657,2009-03-24,2000,19200,26200,18800,19,2,2,1/1,1000,R,7000,339,937
#5656,2009-03-23,1600,11178,22301,10000,13,1,1,1/2,2778,R,11123,233,810
#5653,2009-03-18,6800,22600,22600,19200,28,2,0,1/1,5000,W,0,475,714
#5648,2009-03-11,2000,16800,16599,13600,15,2,0,1/1,4000,W,-201,254,778
#5373,2008-01-09,8000,14300,3800,13800,21,2,0,1/2,1100,W,-10500,350,810
#5372,2008-01-08,5200,12000,19601,12000,19,3,1,0/0,0,R,7601,345,698
#5371,2008-01-07,8100,22500,25000,12400,25,4,1,3/3,14100,R,2500,426,762
#5370,2008-01-04,9400,15000,200,14000,23,1,4,1/1,2000,W,-14800,390,762
#5369,2008-01-03,5800,17800,17001,17800,21,0,0,0/0,0,W,-799,362,825
#5368,2008-01-02,9200,23200,23000,16600,24,2,0,2/2,9200,W,-200,400,762
#5367,2008-01-01,10200,21800,23600,18600,31,2,2,1/1,4000,R,1800,542,746
#5366,2007-12-31,4800,14900,26000,18400,24,3,1,0/2,-3500,R,11100,417,889
#5365,2007-12-28,3600,13400,26800,12000,14,1,0,1/1,3000,R,13400,254,825
#5364,2007-12-27,1100,9900,9700,7800,14,3,1,2/3,5300,W,-200,230,810
