Michael Daunt,,accountant,"Oakville, Ontario, Canada"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4776,2005-05-16,4400,9200,18400,9200,16,4,1,0/0,0,R,9200,293,921
#4756,2005-04-18,5400,16000,22801,15000,18,3,0,1/1,3000,R,6801,322,825
#4737,2005-03-22,13800,23400,24801,21200,29,1,1,1/1,3000,R,1401,508,810
#2935,1997-05-09,2600,11000,14800,12000,28,2,3,1/2,0,R,3800,483,937
#2934,1997-05-08,2300,15100,20200,13700,27,1,0,1/1,2000,R,5100,475,952
#2932,1997-05-06,5100,15400,15400,14400,29,0,0,3/3,3500,R,0,492,921
#2820,1996-11-29,3000,5000,0,5000,17,4,2,0/0,0,W,-5000,293,889
#2819,1996-11-28,1300,4100,8200,4100,15,4,2,0/0,0,R,4100,276,952
#2817,1996-11-26,3100,4800,8101,6300,20,3,0,0/1,-1500,R,3301,356,857
#2815,1996-11-22,2400,7900,10300,9300,21,2,4,0/2,-1400,R,2400,367,905
#2590,1995-12-01,5100,16300,7799,13700,33,1,0,2/2,4000,W,-8501,550,921
