Leszek Pawlowicz,,materials scientist,"Phoenix, Arizona"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6837,2014-05-13,0,5200,10399,5200,9,3,1,0/0,0,R,5199,172,873
#6831,2014-05-05,7800,15000,15000,13600,19,3,2,1/1,2000,W,0,322,841
#6767,2014-02-04,6400,25600,28000,17200,24,2,3,1/1,10000,R,2400,424,889
#4720,2005-02-25,5200,15600,17201,11200,17,1,2,1/1,6400,R,1601,305,873
#1890,1992-11-20,600,6200,11400,7100,15,2,0,1/2,100,R,5200,267,905
#1889,1992-11-19,3000,10300,4000,9500,20,0,1,2/2,2200,W,-6300,333,889
#1886,1992-11-16,3700,10500,13401,11500,25,2,1,1/2,0,R,2901,433,905
#1885,1992-11-13,5400,15900,16800,15100,33,1,2,2/2,2000,R,900,567,952
#1635,1991-10-11,7300,12700,8000,16100,40,1,0,1/2,-3000,W,-4700,667,889
#1634,1991-10-10,3200,13000,15401,10300,25,2,2,2/2,3600,R,2401,433,937
