Justin Bernbach,,lobbyist,"Brooklyn, New York"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5923,2010-05-19,5200,13400,6300,10000,14,1,0,1/1,5000,W,-7100,237,794
#5919,2010-05-13,10600,25800,25836,22400,27,1,1,2/2,5400,R,36,467,857
#5706,2009-06-01,6600,17800,25300,15400,20,0,0,1/1,4000,R,7500,356,921
#5705,2009-05-29,4600,30400,27800,26200,24,1,1,1/1,5000,W,-2600,407,889
#5704,2009-05-28,12400,25200,20200,24400,30,1,3,2/2,2400,W,-5000,500,905
#5703,2009-05-27,6000,15800,18801,14000,19,1,2,2/2,3200,R,3001,333,810
#5702,2009-05-26,9000,15800,7599,15800,22,2,1,0/0,0,W,-8201,379,841
#5701,2009-05-25,5600,25800,29300,21600,23,1,1,2/2,7000,R,3500,400,905
#5700,2009-05-22,5800,15800,29700,13400,16,2,1,1/1,3200,R,13900,288,857
#5699,2009-05-21,5400,15800,21601,15400,23,3,2,1/1,1200,R,5801,407,889
