Frank Spangenberg,,police lieutenant,"Douglaston, New York"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6769,2014-02-06,2400,14000,7199,14000,16,1,1,0/0,0,W,-6801,276,778
#4778,2005-05-18,6200,18000,5800,16600,18,0,1,1/1,3000,W,-12200,305,857
#4777,2005-05-17,2800,6800,13500,6000,12,1,1,1/1,2000,R,6700,220,841
#4773,2005-05-11,6600,17200,34399,15800,20,2,1,1/1,3000,R,17199,356,873
#4768,2005-05-04,4600,18800,25800,16600,18,2,1,1/1,3000,R,7000,322,825
#4078,2002-05-01,4800,19200,6799,16400,20,3,1,1/1,4000,W,-12401,339,905
#2130,1993-12-03,2900,8100,16200,8100,21,1,0,0/0,0,R,8100,379,889
#2129,1993-12-02,4400,7600,600,5400,18,1,1,2/2,3500,W,-7000,300,873
#2128,1993-12-01,6500,15200,16200,11100,24,1,3,2/2,5500,R,1000,417,937
#1427,1990-11-13,2800,5400,101,5400,15,1,1,0/0,0,W,-5299,259,937
#1425,1990-11-09,3200,8800,10100,8800,17,1,1,0/0,0,R,1300,310,937
Super Jeopardy! #2,1990-06-23,4000,17500,8999,17500,14,0,0,0/0,0,W,-8501,241,844
#1241,1990-01-15,3700,20500,30600,11100,31,3,2,2/2,11000,R,10100,533,810
#1240,1990-01-12,3400,14800,18399,11600,26,1,2,1/1,4000,R,3599,458,921
#1239,1990-01-11,3500,10500,15000,10500,23,2,0,0/0,0,R,4500,414,841
#1238,1990-01-10,500,12900,22799,12000,30,5,1,1/2,1500,R,9899,517,762
#1237,1990-01-09,6300,10700,15799,7500,23,4,2,2/2,4600,R,5099,400,810
