Jason Zollinger,,engine assembler,"South Dayton, New York"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5925,2010-05-21,2400,10200,18900,10600,13,2,0,2/3,2000,R,8700,230,794
#5924,2010-05-20,800,9200,0,8000,15,4,1,1/1,2000,W,-9200,254,794
#5922,2010-05-18,6600,16200,31201,16200,21,1,1,0/0,0,R,15001,379,794
#5920,2010-05-14,2800,9200,11500,11200,14,3,0,0/1,-2000,R,2300,254,810
#5838,2010-01-20,8400,15800,5599,12000,18,2,1,2/2,6800,W,-10201,300,810
#5837,2010-01-19,12200,28200,35199,22000,29,2,1,2/2,8600,R,6999,500,889
#5836,2010-01-18,4400,17000,26801,18000,23,2,1,1/2,200,R,9801,400,857
#5835,2010-01-15,7600,14600,25201,15600,21,2,1,0/1,-1000,R,10601,373,841
#5834,2010-01-14,8000,15600,17201,15600,23,2,0,0/0,0,R,1601,414,762
#5833,2010-01-13,5200,12800,17201,12800,18,3,0,0/0,0,R,4401,328,762
#5832,2010-01-12,5000,24400,26801,15200,17,2,1,3/3,12800,R,2401,295,889
