Tom Nissley,,online books editor,"Seattle, Washington"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6806,2014-03-31,2600,7400,13400,7400,11,2,0,0/0,0,R,6000,207,810
#6247,2011-11-15,3800,14600,0,14600,16,1,2,0/0,0,W,-14600,276,873
#6246,2011-11-14,6200,9400,18800,9400,15,1,1,0/0,0,R,9400,276,873
#6243,2011-11-09,4400,26200,27201,29000,27,1,1,2/3,400,R,1001,459,889
#6238,2011-11-02,8000,16400,16403,14400,19,3,4,1/1,3000,R,3,339,873
#6050,2010-12-24,5200,11800,1,14400,19,3,2,0/1,-2600,W,-11799,322,794
#6049,2010-12-23,6400,20400,24401,15200,19,3,0,2/2,7200,R,4001,333,762
#6048,2010-12-22,5000,19800,26801,19800,24,0,1,0/0,0,R,7001,431,841
#6047,2010-12-21,8600,19600,32401,17600,22,0,1,2/2,4000,R,12801,383,921
#6046,2010-12-20,5000,18400,36799,14800,18,2,2,2/2,6000,R,18399,317,905
#6045,2010-12-17,9000,29800,43800,25800,27,1,3,1/1,6000,R,14000,475,841
#6044,2010-12-16,5800,12200,23201,11800,14,0,2,1/1,2000,R,11001,254,825
#6043,2010-12-15,4600,18800,23201,14600,20,2,3,1/1,5000,R,4401,356,810
#6042,2010-12-14,6200,18600,24801,17200,18,1,1,1/1,2000,R,6201,322,889
