Ken Jennings,,74-game champion,"Seattle, Washington"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6840,2014-05-16,6000,13600,599,13600,20,1,3,0/0,0,W,-13001,345,889
#6839,2014-05-15,3200,12000,7000,12000,21,3,3,0/0,0,W,-5000,362,873
#6836,2014-05-12,15000,18600,30401,21200,32,2,2,1/2,-1600,R,11801,550,794
#6834,2014-05-08,6400,30200,40000,27000,32,3,1,1/2,4800,R,9800,550,857
#6809,2014-04-03,10400,26800,23600,16200,24,3,2,2/2,12400,W,-3200,400,762
#6088,2011-02-16,8600,18200,19200,15200,17,1,1,1/1,3600,R,1000,305,952
#6087,2011-02-15,2000,2400,4800,2400,9,3,1,0/0,0,R,2400,172,937
#4783,2005-05-25,4600,9400,8599,7600,13,4,0,1/1,2400,W,-801,220,857
#4782,2005-05-24,2400,11000,10000,10600,17,2,1,1/2,1600,W,-1000,283,746
#4781,2005-05-23,8200,13000,16000,12800,23,4,1,1/1,1000,R,3000,407,889
#4657,2004-11-30,10600,14400,8799,22400,29,4,0,1/3,-7200,W,-5601,475,746
#4656,2004-11-29,9200,23200,29000,22600,27,1,3,1/1,1600,R,5800,475,841
#4655,2004-11-26,12600,40800,31600,31600,38,3,3,2/2,11800,W,-9200,633,921
#4654,2004-11-25,12600,38400,50000,29400,38,2,0,2/2,10800,R,11600,650,857
#4653,2004-11-24,15000,44800,55099,36200,43,2,1,2/3,10600,R,10299,721,889
#4642,2004-11-09,3200,26800,30000,24400,28,4,0,1/1,4000,R,3200,492,937
#4641,2004-11-08,13000,24600,19200,28400,36,4,2,1/2,-3200,W,-5400,600,762
#4640,2004-11-06,5000,27600,33201,26600,31,2,2,2/3,4600,R,5601,525,921
#4639,2004-11-05,9600,42800,25600,36000,41,2,0,3/3,10200,W,-17200,672,873
#4638,2004-11-04,10000,40000,50000,27200,36,2,3,2/2,15600,R,10000,617,857
#4637,2004-11-03,11200,37600,45099,31800,37,1,1,3/3,10200,R,7499,623,889
#4636,2004-11-01,7600,30800,26600,29600,36,3,2,2/3,4400,W,-4200,590,905
#4635,2004-10-29,11000,25600,30000,26600,35,4,1,1/2,600,R,4400,600,889
#4634,2004-10-28,5600,26600,30000,21200,32,5,2,1/2,6200,R,3400,550,857
#4633,2004-10-27,9400,25200,34001,22200,32,4,0,1/1,5000,R,8801,559,968
#4632,2004-10-26,5400,18200,25000,17400,25,5,2,2/2,4400,R,6800,433,714
#4631,2004-10-25,10400,27200,30000,27800,33,2,1,1/2,400,R,2800,567,889
#4625,2004-10-15,11200,34600,40000,29400,36,4,4,2/2,8000,R,5400,617,873
#4624,2004-10-14,11300,24800,29900,22400,35,5,1,2/2,4400,R,5100,600,825
#4623,2004-10-13,7800,28200,28300,23600,34,5,0,2/2,7600,R,100,583,889
#4622,2004-10-12,6000,26000,35000,27200,35,5,2,1/2,400,R,9000,600,841
#4621,2004-10-11,9600,26000,35000,26000,34,3,1,1/1,1000,R,9000,593,857
#4620,2004-10-08,14000,45000,30000,36400,42,6,1,3/3,12400,W,-15000,689,873
#4619,2004-10-07,9400,33600,40000,27800,36,3,0,2/2,8200,R,6400,617,905
#4618,2004-10-06,14200,49200,38400,32600,41,2,1,3/3,20200,W,-10800,672,857
#4617,2004-10-05,5200,28600,35038,28800,34,4,1,2/2,3000,R,6438,583,873
#4616,2004-10-04,7600,19700,29601,17600,26,6,1,1/2,3700,R,9901,450,794
#4605,2004-09-17,10200,38000,50000,35800,41,4,2,2/3,5000,R,12000,689,825
#4604,2004-09-16,9000,23600,30000,20400,31,6,1,2/2,6000,R,6400,533,841
#4603,2004-09-15,11400,43800,37600,37000,41,2,1,1/1,8400,W,-6200,695,857
#4602,2004-09-14,11200,31000,40000,26800,39,4,0,2/2,7400,R,9000,667,873
#4601,2004-09-13,16600,38800,45000,32200,41,2,2,2/2,9200,R,6200,700,905
#4600,2004-09-10,13600,28600,30000,28600,34,3,0,2/3,2400,R,1400,574,889
#4599,2004-09-09,8100,28400,21800,33400,42,5,0,1/3,-3400,W,-6600,689,905
#4598,2004-09-08,16400,33600,27200,26400,40,5,0,2/2,9800,W,-6400,667,841
#4597,2004-09-07,5800,28400,21800,25800,31,3,3,1/1,3800,W,-6600,525,905
#4596,2004-09-06,13800,31600,10001,29600,38,3,1,2/3,3800,W,-21599,623,825
#4595,2004-07-23,14400,51400,75000,37600,44,2,1,2/2,16200,R,23600,750,921
#4594,2004-07-22,16000,42000,52000,30200,39,1,0,3/3,15200,R,10000,656,810
#4593,2004-07-21,14000,26800,30000,22600,40,5,2,2/2,7200,R,3200,683,921
#4592,2004-07-20,10800,40600,29200,33200,45,3,0,2/2,10200,W,-11400,750,841
#4591,2004-07-19,8400,27800,35000,27600,31,1,2,1/2,1800,R,7200,533,889
#4590,2004-07-16,13200,40000,50000,30800,40,4,1,3/3,13400,R,10000,672,889
#4589,2004-07-15,4800,27600,28000,22800,29,4,2,1/1,6400,R,400,508,841
#4588,2004-07-14,4800,17200,17500,28400,34,7,0,0/3,-11200,R,300,574,857
#4587,2004-07-13,12600,46000,32000,37200,43,2,1,3/3,12400,W,-14000,705,905
#4586,2004-07-12,12400,34400,52000,29600,42,4,0,2/2,8000,R,17600,717,889
#4585,2004-07-09,12600,37000,52000,28600,39,2,1,2/2,10200,R,15000,667,857
#4584,2004-07-08,11100,29800,40000,24400,32,1,1,2/2,8000,R,10200,550,825
#4583,2004-07-07,9800,34000,40000,27400,33,2,0,3/3,9600,R,6000,557,905
#4582,2004-07-06,10000,22000,14000,22000,32,5,3,0/0,0,W,-8000,552,794
#4581,2004-07-05,7800,24800,19600,19000,32,6,2,3/3,9200,W,-5200,525,762
#4580,2004-07-02,4800,18800,17600,22400,35,8,1,1/2,-1600,W,-1200,583,810
#4579,2004-07-01,6400,35200,40000,30400,34,3,1,2/2,8400,R,4800,583,857
#4578,2004-06-30,8400,30400,35000,28400,36,3,3,2/2,5200,R,4600,617,937
#4577,2004-06-29,12000,29200,40000,26600,37,3,1,2/2,5400,R,10800,633,889
#4576,2004-06-28,7800,28000,21000,21800,26,2,0,3/3,10200,W,-7000,426,794
#4575,2004-06-25,8700,28200,48801,23800,27,0,0,2/2,6200,R,20601,467,921
#4574,2004-06-24,7800,33399,40000,33800,39,4,0,1/2,799,R,6601,667,905
#4573,2004-06-23,11200,30500,26000,24400,35,4,0,3/3,9300,W,-4500,574,889
#4572,2004-06-22,9200,22600,15200,24400,31,5,0,2/3,800,W,-7400,508,825
#4571,2004-06-21,8000,28400,31601,24000,29,3,2,1/1,6000,R,3201,508,873
#4570,2004-06-18,9400,27000,30000,25400,33,1,2,2/2,4800,R,3000,567,905
#4569,2004-06-17,10400,37000,34000,33200,39,4,1,2/2,6200,W,-3000,650,937
#4568,2004-06-16,10000,32200,35000,28400,38,5,2,2/2,5200,R,2800,650,889
#4567,2004-06-15,10400,35000,50000,32600,40,2,1,2/3,5200,R,15000,672,905
#4566,2004-06-14,6800,22000,25000,26400,29,3,3,0/2,-4400,R,3000,500,841
#4565,2004-06-11,12800,38600,35158,35400,41,0,3,3/3,7800,W,-3442,672,952
#4564,2004-06-10,9600,40600,50000,39200,43,2,1,2/2,5400,R,9400,733,889
#4563,2004-06-09,12600,18800,25000,23400,34,2,2,0/1,-4600,R,6200,593,873
#4562,2004-06-08,6600,32400,29799,30400,33,1,2,2/2,3600,W,-2601,550,921
#4561,2004-06-07,7600,24800,30000,24400,25,0,2,1/1,2000,R,5200,441,857
#4560,2004-06-04,10200,33600,37000,30600,36,1,1,3/3,6800,R,3400,607,937
#4559,2004-06-03,10000,31000,22000,30000,33,2,1,1/1,2600,W,-9000,559,857
#4558,2004-06-02,8000,20000,37201,19600,27,3,2,1/1,2000,R,17201,475,937
