Brad Rutter,,$3.2-million winner,"Los Angeles, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6840,2014-05-16,1800,11800,11800,11200,17,3,1,2/2,3000,R,0,300,889
#6839,2014-05-15,2000,14000,10000,17200,21,4,3,1/2,-1200,W,-4000,350,873
#6837,2014-05-13,13800,32800,32800,27400,32,3,3,2/3,7400,R,0,541,873
#6833,2014-05-07,6800,32400,32400,19800,22,2,1,3/3,16000,W,0,361,746
#6790,2014-03-07,7200,30600,30600,28400,33,3,2,2/2,5000,W,0,550,873
#6088,2011-02-16,2400,5600,11200,5600,12,2,0,0/0,0,R,5600,224,952
#6087,2011-02-15,5000,5400,10400,5400,10,1,2,0/0,0,R,5000,190,937
#4783,2005-05-25,9800,23600,23600,23800,30,1,2,1/1,1400,R,0,525,857
#4782,2005-05-24,4200,15000,20000,15000,17,1,0,0/0,0,R,5000,310,746
#4781,2005-05-23,2200,14200,18400,14600,18,2,0,1/2,400,R,4200,317,889
#4780,2005-05-20,5400,26600,26600,26400,30,2,0,2/3,1600,R,0,508,825
#4779,2005-05-19,3200,14200,10000,19600,30,4,1,1/2,-3800,W,-4200,500,810
#4771,2005-05-09,3600,5600,6400,11600,17,4,0,0/2,-6000,R,800,300,841
#4764,2005-04-28,8800,33200,18200,31600,36,2,3,2/2,4800,W,-15000,600,889
#4087,2002-05-14,5600,13600,13801,13600,18,2,1,0/0,0,R,201,328,857
#4086,2002-05-13,6400,15800,11800,15800,26,4,2,2/2,2000,W,-4000,433,825
#4084,2002-05-09,9600,19600,39200,19600,33,4,0,1/1,2000,R,19600,576,921
#4079,2002-05-02,5800,17800,24801,17800,26,4,4,1/1,1200,R,7001,458,857
#3950,2001-11-02,2400,9300,17101,8800,18,1,1,2/2,1700,R,7801,317,905
#3949,2001-11-01,1600,6000,2500,6000,17,3,1,0/0,0,W,-3500,293,825
#3948,2001-10-31,2200,10800,17001,9600,22,1,2,2/2,2600,R,6201,383,889
#3944,2001-10-25,8200,18000,18000,15000,36,2,2,3/3,5400,W,0,590,889
#3720,2000-11-03,5100,13100,5100,11700,35,3,2,2/2,3000,W,-8000,583,825
#3719,2000-11-02,3200,12600,15200,12200,24,1,2,3/3,2500,R,2600,410,889
#3718,2000-11-01,3300,9900,10601,9500,27,2,2,1/1,1000,R,701,475,841
#3717,2000-10-31,4500,15000,14000,13700,34,2,0,2/2,1900,W,-1000,567,889
#3716,2000-10-30,1400,7800,10201,7800,16,2,2,0/0,0,R,2401,293,873
