Joon Pahk,,college physics teacher,"Somerville, Massachusetts"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6245,2011-11-11,3400,11800,11662,11800,14,4,2,0/0,0,W,-138,241,857
#6240,2011-11-04,6800,20800,30800,18400,26,3,4,2/2,5000,R,10000,450,794
#6223,2011-10-12,6400,13200,17600,13200,22,4,2,0/0,0,R,4400,397,905
#6222,2011-10-11,12400,26400,29100,23800,33,4,0,1/1,3000,R,2700,576,984
#6221,2011-10-10,11400,31200,23700,21400,30,3,1,2/3,12600,W,-7500,492,841
#6220,2011-10-07,7000,19300,16800,21600,29,3,0,1/2,-1500,W,-2500,483,841
#6219,2011-10-06,8200,14200,16700,12600,23,4,1,1/1,2400,R,2500,407,873
#6218,2011-10-05,4800,16600,33100,22000,28,5,2,0/2,-5400,R,16500,483,857
#6217,2011-10-04,10400,38800,50800,23200,29,3,0,2/2,18200,R,12000,500,873
#6216,2011-10-03,7600,21300,28800,24800,31,2,1,1/2,-1900,R,7500,533,921
