Roger Craig,,computer scientist,"Newark, Delaware"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6840,2014-05-16,5400,2000,4000,12200,17,5,0,0/1,-10200,R,2000,305,889
#6839,2014-05-15,5000,-800,-800,9400,13,3,1,0/1,-10200,-,0,305,873
#6838,2014-05-14,5200,18000,12799,16800,24,8,1,1/1,3200,W,-5201,407,794
#6831,2014-05-05,3000,21000,22078,15400,22,6,0,2/2,8400,R,1078,383,841
#6807,2014-04-01,5200,17200,17601,11800,21,5,0,2/2,7800,R,401,367,905
#6247,2011-11-15,10000,15600,1200,13000,25,6,1,1/1,3200,W,-14400,424,873
#6246,2011-11-14,5400,43200,50000,19000,24,3,0,2/2,27000,R,6800,417,873
#6245,2011-11-11,5000,27600,27600,12400,21,6,1,3/3,19200,W,0,344,857
#6239,2011-11-03,7600,39800,19600,32000,36,3,2,2/2,11000,W,-20200,600,937
#5982,2010-09-21,6000,22000,4599,19600,27,2,1,1/1,4000,W,-17401,458,873
#5981,2010-09-20,10000,35200,34399,23800,23,2,1,2/2,14000,W,-801,383,778
#5980,2010-09-17,10800,26800,29000,23200,26,3,3,1/1,4200,R,2200,458,794
#5979,2010-09-16,4200,30200,28400,19400,25,4,0,2/2,14000,W,-1800,417,889
#5978,2010-09-15,9400,13800,24401,22600,31,2,2,1/2,-8200,R,10601,533,873
#5977,2010-09-14,13000,47000,77000,34400,39,4,4,3/3,16000,R,30000,656,873
#5976,2010-09-13,9200,33600,37000,22600,28,1,1,2/2,13600,R,3400,483,873
