Jason Keller,,tutor,"Highland Park, New Jersey"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6550,2013-02-22,4800,13200,13200,10800,19,2,1,1/1,4000,R,0,339,857
#6545,2013-02-15,8800,28200,28200,21600,25,0,1,2/2,9400,R,0,433,857
#6279,2011-12-29,3000,8800,1800,11800,17,2,2,0/1,-3000,W,-7000,288,825
#6278,2011-12-28,3800,18400,11800,14800,22,3,0,2/2,6200,W,-6600,367,841
#6277,2011-12-27,6400,18200,18200,16000,22,2,2,1/1,3000,R,0,390,794
#6276,2011-12-26,11600,22400,36900,20600,27,0,0,2/2,4200,R,14500,467,810
#6275,2011-12-23,4800,17000,20000,20400,28,6,1,1/3,-2600,R,3000,475,730
#6274,2011-12-22,6600,22200,32200,24000,26,4,1,1/2,-1000,R,10000,450,841
#6273,2011-12-21,8600,19800,25000,19600,26,2,2,1/1,1000,R,5200,458,889
#6272,2011-12-20,6200,22600,25000,22600,25,3,1,1/1,1600,R,2400,441,873
#6271,2011-12-19,9200,27600,16600,21200,29,0,2,2/2,10000,W,-11000,483,921
#6270,2011-12-16,7000,20200,28200,19000,24,2,1,2/2,3000,R,8000,417,794
