Mark Dawson,,business manager,"Chamblee, Georgia"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6835,2014-05-09,4200,10600,8600,10400,15,2,1,1/1,1000,W,-2000,254,746
#6789,2014-03-06,6800,13600,15599,19400,25,3,3,0/3,-5800,R,1999,426,889
#4763,2005-04-27,3400,10600,21200,10600,13,2,1,0/0,0,R,10600,241,825
#4727,2005-03-08,5550,16350,21250,16600,20,4,1,1/3,1750,R,4900,344,857
#4320,2003-05-16,3800,17200,34400,15400,20,2,1,1/1,3000,R,17200,356,889
#4319,2003-05-15,9000,17400,22400,17200,26,2,2,1/1,1000,R,5000,458,905
#4317,2003-05-13,7600,16300,30001,18400,28,6,1,1/2,-500,R,13701,483,905
#4312,2003-05-06,6000,16000,16799,14800,20,3,2,1/1,2000,R,799,356,841
#3919,2001-09-20,1600,7400,8200,6400,20,5,5,1/1,1600,R,800,356,778
#3918,2001-09-19,2100,3800,3800,5100,16,6,1,0/1,-1300,W,0,271,746
#3917,2001-09-18,5200,9400,15401,9000,24,3,2,2/2,1600,R,6001,417,810
#3916,2001-09-17,4500,11900,11599,11500,29,1,6,1/1,1000,W,-301,492,857
#3915,2001-09-14,1500,7000,13599,7500,21,7,3,2/3,1100,R,6599,361,825
