Celeste DiNucci,,manager of corporate and foundation relations at a music school,"Philadelphia, Pennsylvania"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6806,2014-03-31,1200,16200,14801,12800,21,6,1,1/1,5000,W,-1399,356,810
#5335,2007-11-16,5200,14200,2000,8000,15,2,1,2/2,8000,W,-12200,250,810
#5334,2007-11-15,5600,14200,20000,12400,17,1,1,1/1,3000,R,5800,305,714
#5332,2007-11-13,4800,8800,15401,11400,17,2,3,1/2,-2000,R,6601,300,889
#5327,2007-11-06,5000,15800,21800,15800,21,3,0,0/0,0,R,6000,379,857
#5054,2006-07-27,5000,7400,0,7400,16,4,1,0/0,0,W,-7400,276,841
#5053,2006-07-26,3400,15600,23199,9400,15,4,1,1/1,7000,R,7599,271,730
#5052,2006-07-25,5600,19400,16800,18000,24,3,1,1/1,3000,W,-2600,407,825
#5051,2006-07-24,6600,16000,25601,19000,23,5,3,0/1,-3000,R,9601,407,841
#5050,2006-07-21,2000,8600,7401,7200,15,6,2,1/1,3000,W,-1199,254,698
#5049,2006-07-20,5200,12800,10600,17600,23,4,1,1/2,-4000,W,-2200,383,683
