Colby Burnett,,AP world history teacher,"Chicago, Illinois"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6838,2014-05-14,3600,11600,4099,13400,16,1,1,0/1,-1800,W,-7501,271,794
#6835,2014-05-09,200,11800,11000,12200,11,2,0,1/2,1200,W,-800,183,746
#6806,2014-03-31,5600,16400,16201,16400,18,1,2,2/2,2400,W,-199,300,810
#6552,2013-02-26,2800,14400,14400,16800,18,3,1,1/2,-1600,R,0,317,825
#6551,2013-02-25,4000,21200,22200,21200,24,2,1,0/0,0,R,1000,431,873
#6549,2013-02-21,5600,22000,38401,21200,22,0,0,2/2,2600,R,16401,383,905
#6544,2013-02-14,7600,15200,16400,15400,20,1,2,1/2,200,R,1200,350,794
#6482,2012-11-20,4200,20600,18671,20600,20,0,2,0/0,0,W,-1929,345,857
#6481,2012-11-19,6600,11800,10600,11800,18,1,1,1/1,1000,W,-1200,305,794
#6480,2012-11-16,1800,13800,14701,17800,23,4,4,0/1,-4000,R,901,407,714
#6473,2012-11-07,8000,19800,20001,18400,24,3,1,2/2,3200,R,201,417,905
