Tom Nosek,,aerospace engineer,"Chicago, Illinois"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6832,2014-05-06,8800,11200,2400,8600,18,3,1,1/1,3000,W,-8800,305,841
#6768,2014-02-05,400,6000,7201,6400,12,5,2,0/1,-400,R,1201,220,667
#4719,2005-02-24,3200,9100,0,11600,14,2,0,0/1,-2500,W,-9100,237,794
#2130,1993-12-03,1600,4000,0,4000,10,1,0,1/1,1000,W,-4000,169,889
#2129,1993-12-02,800,6800,13600,6800,13,1,1,0/0,0,R,6800,241,873
#2127,1993-11-30,2700,10700,10700,10700,20,0,4,0/0,0,W,0,345,905
#2125,1993-11-26,1200,4200,8400,4200,9,1,2,0/0,0,R,4200,172,921
#2124,1993-11-25,1800,9600,19200,7400,16,2,1,1/1,3000,R,9600,288,937
#2121,1993-11-22,400,8600,8600,7200,17,5,1,1/2,2400,W,0,283,857
#2119,1993-11-18,2000,13100,13100,10400,24,2,1,1/1,3500,R,0,424,825
#1891,1992-11-23,4900,8300,6420,7700,27,5,3,1/1,1000,W,-1880,458,889
