Bob Verini,,playwright/actor,"New York, New York"
16,172784
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6770,2014-02-07,5800,14000,1999,12200,16,1,0,1/1,3000,W,-12001,271,778
#4767,2005-05-03,600,3000,3000,5200,14,6,1,0/1,-2200,W,0,237,841
#4087,2002-05-14,2800,400,800,16000,17,4,0,0/2,-15600,R,400,300,857
#4086,2002-05-13,2200,10400,6800,10600,14,3,0,1/1,1000,W,-3600,237,825
#4085,2002-05-10,2400,12400,21201,12400,17,4,1,0/0,0,R,8801,310,873
#4081,2002-05-06,8400,21000,21000,20200,23,2,0,2/2,2800,R,0,400,825
Super Jeopardy! #13,1990-09-08,5400,16900,0,17500,23,3,0,0/1,-600,W,-16900,390,810
Super Jeopardy! #4,1990-07-07,6400,24800,32201,17900,20,2,0,1/2,8900,R,7401,350,857
Super Jeopardy! #1,1990-06-16,3000,23000,22900,20500,22,3,1,1/1,5000,W,-100,373,844
#740,1987-11-20,1900,11000,12201,8500,23,6,1,2/3,3600,R,1201,393,794
#739,1987-11-19,2500,5900,3800,5900,17,6,0,1/1,300,W,-2100,288,794
#738,1987-11-18,900,8600,8600,5100,22,7,4,1/1,3700,W,0,373,714
#734,1987-11-12,2800,5200,9400,6800,20,4,0,0/1,-1600,R,4200,356,857
#663,1987-06-24,4800,12600,10600,12600,33,3,3,1/1,300,W,-2000,559,857
#662,1987-06-23,2600,5800,9201,6200,23,7,1,1/2,600,R,3401,400,810
#661,1987-06-22,1700,11000,10799,9700,21,3,1,1/2,2300,W,-201,350,794
