Tom Kavanaugh,,kickball team captain,"St. Louis, Missouri"
11,308000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6808,2014-04-02,1600,5600,0,5600,11,3,1,0/0,0,W,-5600,190,810
#5000,2006-05-12,1800,6000,10000,8200,12,3,0,0/1,-2200,R,4000,220,778
#4912,2006-01-10,3800,6799,13597,14800,20,4,2,1/3,-6001,R,6798,344,825
#4911,2006-01-09,4000,14000,4000,9600,12,2,1,1/1,6000,W,-10000,203,714
#4910,2006-01-06,3200,12400,24401,11600,16,2,0,1/1,2000,R,12001,288,762
#4909,2006-01-05,6600,18600,20000,17000,25,5,1,2/2,4800,R,1400,433,762
#4908,2006-01-04,5800,17000,9000,19000,21,3,2,1/2,-400,W,-8000,350,667
#4907,2006-01-03,5200,14400,26401,13600,20,4,0,1/1,2000,R,12001,356,857
#4906,2006-01-02,2400,6000,11999,6000,15,4,1,0/0,0,R,5999,276,730
#4905,2005-12-30,1800,12200,18801,12200,18,5,1,0/0,0,R,6601,328,841
#4904,2005-12-29,5000,24200,28000,23000,30,5,1,1/1,2800,R,3800,525,810
