Lan Djang,,business analyst,"Toronto, Canada"
10,100000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4775,2005-05-13,2200,9600,950,11000,17,2,1,1/2,200,W,-8650,283,810
#4763,2005-04-27,7800,18800,21250,19800,25,5,1,1/2,200,R,2450,433,825
#4747,2005-04-05,5400,21200,26850,21000,24,1,0,2/3,3000,R,5650,410,794
#3947,2001-10-30,1600,3600,7140,3600,14,1,0,0/0,0,R,3540,259,841
#3945,2001-10-26,600,1200,2400,2800,14,6,1,1/2,-1300,R,1200,250,841
#3887,2001-06-26,2700,8300,10800,6600,18,0,2,2/2,3000,R,2500,317,810
#3886,2001-06-25,3300,7000,13000,7300,22,3,0,0/1,-300,R,6000,390,810
#3885,2001-06-22,1800,7200,6500,7200,20,4,1,0/0,0,W,-700,345,762
#3884,2001-06-21,2100,9300,10800,11100,26,3,0,1/2,-800,R,1500,450,810
#3883,2001-06-20,3000,8200,10000,7000,21,3,0,2/2,2100,R,1800,367,873
