Bob Harris,,writer,"Cleveland, Ohio"
14,134400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6788,2014-03-05,1200,6000,0,7000,14,4,0,0/1,-1000,W,-6000,237,714
#4756,2005-04-18,3600,17200,2200,15000,20,2,2,1/2,3400,W,-15000,333,825
#4712,2005-02-15,5300,12200,24400,12000,15,4,2,2/2,2800,R,12200,267,746
#4083,2002-05-08,2000,14800,29600,9200,17,3,1,1/1,6400,R,14800,305,873
#4078,2002-05-01,7000,15800,20000,15800,21,2,0,0/0,0,R,4200,379,905
#3105,1998-02-13,1500,200,1,3300,14,5,1,0/1,-3100,W,-199,237,889
#3104,1998-02-12,3500,7700,0,9500,24,2,2,2/3,-300,W,-7700,393,905
#3102,1998-02-10,6000,12400,20001,12000,29,1,2,1/1,700,R,7601,508,937
#3100,1998-02-06,2400,1600,3200,1600,13,6,0,0/0,0,R,1600,241,841
#3049,1997-11-27,1900,7300,14600,7100,24,5,2,1/1,1000,R,7300,424,841
#3048,1997-11-26,2200,11400,11700,10600,27,4,1,2/2,2200,R,300,467,857
#3047,1997-11-25,2400,11400,9400,12200,28,4,2,1/2,0,W,-2000,467,873
#3046,1997-11-24,4900,11700,12700,11100,23,1,1,1/1,1000,R,1000,407,810
#3030,1997-10-31,3500,9100,9600,11100,29,3,2,1/2,-1500,R,500,500,762
