Grace Veach,,librarian,"Decatur, Illinois"
10,105000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4773,2005-05-11,4800,10000,0,10000,16,2,2,0/0,0,W,-10000,276,873
#4765,2005-04-29,2000,24000,23500,16600,18,2,1,2/3,10200,W,-500,295,825
#4725,2005-03-04,7600,13200,26200,11800,17,1,1,1/1,2000,R,13000,305,857
#3103,1998-02-11,3100,10300,4300,10300,20,0,2,0/0,0,W,-6000,345,841
#3100,1998-02-06,800,9500,10500,8800,19,4,1,2/2,2500,R,1000,333,841
#2880,1997-02-21,5000,10400,10000,10200,29,2,2,2/2,2000,W,-400,483,857
#2879,1997-02-20,4400,10200,11401,11000,28,1,1,2/3,500,R,1201,475,873
#2878,1997-02-19,4300,7700,6700,7700,25,3,2,0/0,0,W,-1000,431,810
#2877,1997-02-18,1800,12000,13000,11800,24,3,2,2/2,1800,R,1000,417,857
#2876,1997-02-17,4000,9500,10500,10200,25,1,3,1/2,100,R,1000,433,841
