Eric Newhouse,,student and winner of last year's Teen Tournament,"Sioux City, Iowa"
11,110000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4757,2005-04-19,3800,400,5,11000,17,6,2,0/2,-10600,W,-395,283,825
#4087,2002-05-14,7200,12800,25600,11200,16,3,1,1/1,2200,R,12800,288,857
#4086,2002-05-13,2800,7600,0,7600,12,3,1,0/0,0,W,-7600,207,825
#4083,2002-05-08,11100,25500,29601,27000,31,3,2,1/2,-500,R,4101,533,873
#4080,2002-05-03,1000,10000,20000,8600,12,3,1,1/1,3000,R,10000,220,937
#3270,1998-11-20,2100,8000,14801,5500,17,4,2,1/1,3100,R,6801,305,841
#3268,1998-11-18,4500,6100,12200,13500,27,3,3,1/3,-7000,R,6100,459,730
Super Jeopardy!,41990-07-07,6200,10400,20800,15200,15,2,1,0/1,-4800,R,10400,271,857
Super Jeopardy!,31990-06-30,3200,14200,28400,13400,17,3,1,1/2,2800,R,14200,300,844
#1197,1989-11-14,1400,5800,2199,8200,21,4,0,1/3,-1400,W,-3601,344,794
#1193,1989-11-08,3600,8400,10000,7600,22,2,1,1/1,1400,R,1600,390,857
