Tom Walsh,,writer,"Washington, D.C"
13,209300
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4755,2005-04-15,4600,9100,1405,9400,14,2,1,0/1,-300,W,-7695,237,778
#4615,2004-10-01,1200,8800,11800,10000,11,2,2,0/1,-1200,R,3000,203,730
#4614,2004-09-30,5200,16700,19700,16800,20,1,1,2/2,1900,R,3000,350,810
#4612,2004-09-28,3400,11800,14701,11800,13,2,1,0/0,0,R,2901,241,889
#4607,2004-09-21,4000,11600,12401,13600,21,4,1,0/1,-2000,R,801,373,730
#4458,2004-01-14,2000,18200,11600,16400,17,4,2,2/2,3800,W,-6600,283,857
#4457,2004-01-13,2000,17300,32000,16800,16,1,0,1/1,2500,R,14700,288,952
#4456,2004-01-12,8600,23100,34800,21000,25,1,2,2/2,3700,R,11700,433,937
#4455,2004-01-09,4600,23600,33600,23800,25,0,6,1/1,1000,R,10000,441,889
#4454,2004-01-08,7800,15400,22000,15000,19,1,3,1/1,1400,R,6600,339,810
#4453,2004-01-07,8400,18000,31800,16800,22,2,2,2/2,4000,R,13800,383,841
#4452,2004-01-06,6400,22700,14600,24400,29,3,0,2/3,500,W,-8100,475,889
#4451,2004-01-05,5200,16100,16100,19600,22,3,1,0/2,-3500,R,0,383,730
