Brian Weikle,,project manager,"Minneapolis, Minnesota"
10,214000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4765,2005-04-29,11200,24400,400,24400,29,0,1,0/0,0,W,-24000,500,825
#4320,2003-05-16,9600,22000,41601,17800,23,2,0,2/2,6200,R,19601,400,889
#4319,2003-05-15,5400,18000,15000,19000,20,3,1,1/1,1000,W,-3000,339,905
#4316,2003-05-12,4400,16800,799,16800,21,2,3,1/1,2000,W,-16001,356,841
#4311,2003-05-05,2200,22200,22200,21400,22,2,3,1/2,2800,R,0,383,714
#4298,2003-04-16,11600,25600,26000,24600,35,2,2,1/1,2000,R,400,610,905
#4297,2003-04-15,8200,23400,18400,23400,24,0,4,0/0,0,W,-5000,414,921
#4296,2003-04-14,15600,37000,52000,35000,41,2,2,3/3,6000,R,15000,689,921
#4295,2003-04-11,9600,26400,31400,26400,34,3,1,1/1,2000,R,5000,593,873
#4294,2003-04-10,9800,25400,21400,23200,24,0,2,2/2,4000,W,-4000,400,873
