Jeremy Bate,,writer,"Los Angeles, California"
10,105000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4715,2005-02-18,3400,9800,0,9800,18,4,3,0/0,0,W,-9800,310,794
#3630,2000-05-19,300,1500,0,1500,9,5,0,0/0,0,W,-1500,155,810
#3629,2000-05-18,1900,4600,7000,5300,14,5,1,0/1,-700,R,2400,254,889
#3627,2000-05-16,1600,7200,9100,8000,20,5,3,0/1,-800,R,1900,356,873
#3621,2000-05-08,1700,6700,5900,6500,24,6,3,1/1,1000,W,-800,407,746
#3569,2000-02-24,4300,7700,9900,10700,31,5,0,1/3,-2500,R,2200,525,794
#3568,2000-02-23,2600,7000,12000,7000,23,3,2,0/0,0,R,5000,414,794
#3567,2000-02-22,5500,11600,10900,10200,28,2,2,2/2,2500,W,-700,467,841
#3566,2000-02-21,2100,9600,11700,9300,25,1,2,2/2,1700,R,2100,433,825
#3555,2000-02-04,1600,6400,10500,6800,21,5,2,1/2,400,R,4100,367,762
