Dave Abbott,,musician and contract manager,"Cincinnati, Ohio"
11,178200
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6789,2014-03-06,4600,16200,5199,16200,17,2,1,0/0,0,W,-11001,293,889
#4748,2005-04-06,7400,22800,17599,22600,29,3,2,1/1,1800,W,-5201,492,857
#3335,1999-02-19,1300,7200,14400,8800,27,5,0,1/3,-1000,R,7200,459,794
#3334,1999-02-18,2600,5600,7100,6600,21,3,1,0/1,-1000,R,1500,373,873
#3332,1999-02-16,1900,6400,12800,5700,19,4,1,1/1,1500,R,6400,339,825
#3327,1999-02-09,1800,9200,10200,9800,23,4,2,2/3,500,R,1000,393,841
#3196,1998-06-22,3100,11900,13399,9900,26,1,0,1/1,3000,R,1499,458,937
#3195,1998-06-19,2600,12800,15800,10400,22,1,0,2/2,4000,R,3000,383,825
#3194,1998-06-18,3800,12300,13600,11600,29,3,0,1/1,1500,R,1300,508,873
#3193,1998-06-17,2600,5700,9600,5100,20,8,0,2/2,2100,R,3900,350,810
#3192,1998-06-16,3900,13700,16200,8400,22,2,1,3/3,7000,R,2500,377,905
