Rich Lerner,,lawyer,American Samoa
10,94000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
Super Jeopardy! #6,1990-07-21,2200,5200,2001,6800,14,4,0,0/1,-1600,W,-3199,237,859
#1200,1989-11-17,2300,5700,11400,5700,20,2,0,0/0,0,R,5700,362,857
#1199,1989-11-16,2400,5300,4100,5800,20,2,4,1/1,300,W,-1200,339,794
#1197,1989-11-14,3600,4600,3399,4600,15,3,1,0/0,0,W,-1201,259,794
#1195,1989-11-10,3300,8700,10500,8500,23,3,2,2/2,1400,R,1800,400,825
#1106,1989-05-29,1200,2600,100,2900,14,5,0,0/1,-300,W,-2500,237,667
#1105,1989-05-26,700,3900,6390,4800,13,5,2,0/1,-900,R,2490,237,698
#1104,1989-05-25,3400,10400,13000,10400,25,0,1,1/1,400,R,2600,441,778
#1103,1989-05-24,2100,8300,12000,9700,25,2,1,1/2,-600,R,3700,433,794
#1102,1989-05-23,900,4700,9400,4700,17,3,3,0/0,0,R,4700,310,730
