Ryan Holznagel,,software writer,"Forest Grove, Oregon"
12,146076
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6787,2014-03-04,7711,12934,11603,13200,17,2,1,1/2,334,W,-1331,283,794
#4762,2005-04-26,3200,11022,3905,10000,16,1,2,1/1,2222,W,-7117,271,857
#4726,2005-03-07,3800,16111,8224,18000,23,3,1,1/2,111,W,-7887,383,841
#2753,1996-07-17,1200,6600,13200,6600,18,1,1,0/0,0,R,6600,328,841
#2585,1995-11-24,3000,7911,15798,7000,18,3,0,2/2,2211,R,7887,317,921
#2584,1995-11-23,2200,7100,10103,7600,19,1,3,1/1,500,R,3003,339,905
#2581,1995-11-20,2400,7300,14417,7400,18,1,3,1/1,700,R,7117,322,921
#2579,1995-11-16,2000,7400,8621,7400,19,0,0,0/0,0,R,1221,345,937
#2358,1994-11-30,2300,2400,4800,5100,17,4,0,0/2,-2700,R,2400,300,857
#2357,1994-11-29,400,7000,6112,7000,17,4,1,0/0,0,W,-888,293,841
#2340,1994-11-04,1400,10400,12900,11500,26,2,0,2/3,300,R,2500,443,794
#2339,1994-11-03,3500,8400,12173,9300,24,3,2,1/2,-400,R,3773,417,810
