Paul Rouffa,,actor,"Forest Park, Illinois"
10,100000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
Super Jeopardy! #5,1990-07-14,7800,10800,0,10800,18,1,0,0/0,0,W,-10800,310,922
#510,1986-11-21,0,1100,0,3000,13,6,0,0/2,-1900,W,-1100,217,762
#509,1986-11-20,-200,4000,4000,4000,15,6,0,1/1,300,W,0,254,778
#508,1986-11-19,3500,7300,14000,6900,22,4,1,1/1,1000,R,6700,390,825
#502,1986-11-11,2000,5800,7801,6300,21,5,2,2/3,400,R,2001,361,794
#371,1986-02-10,1100,6900,12900,6500,18,6,1,1/1,1000,R,6000,322,730
#370,1986-02-07,2800,11400,8400,10000,25,3,0,1/1,2000,W,-3000,424,810
#369,1986-02-06,1600,7000,8199,7500,18,4,1,0/1,-500,R,1199,322,746
#368,1986-02-05,1200,8800,6601,8600,22,3,3,1/1,1000,W,-2199,373,762
#367,1986-02-04,5000,9000,10000,10500,28,3,0,2/3,-400,R,1000,475,714
