Rick Knutsen,,musician and stay-at-home dad,"Brooklyn, New York"
11,92400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4753,2005-04-13,2800,9600,9600,6800,15,3,0,1/1,4400,R,0,271,921
#4743,2005-03-30,6800,13200,23201,15600,23,2,0,0/1,-2400,R,10001,407,873
#3950,2001-11-02,3500,8300,4699,7100,20,3,1,1/1,1600,W,-3601,339,905
#3949,2001-11-01,3900,6500,3000,5500,18,2,1,1/1,1500,W,-3500,305,825
#3947,2001-10-30,1700,10300,10300,11800,26,3,1,2/3,-100,R,0,443,841
#3941,2001-10-22,1400,9600,7599,8200,18,2,1,1/1,2000,W,-2001,305,905
#3811,2001-03-12,2700,10600,11800,9500,25,3,0,2/2,2700,R,1200,433,794
#3810,2001-03-09,2200,10000,10000,9800,24,3,0,1/1,1000,W,0,407,825
#3809,2001-03-08,4200,12000,12100,11500,32,4,1,2/2,1600,R,100,550,889
#3808,2001-03-07,6400,13000,15000,11400,30,0,1,2/2,2300,R,2000,517,794
#3807,2001-03-06,3200,10200,8400,10600,27,4,2,0/1,-400,W,-1800,458,746
