Robin Carroll,,researcher,"Marietta, Georgia"
16,240000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6831,2014-05-05,4000,5200,0,5200,11,1,2,0/0,0,W,-5200,190,841
#6788,2014-03-05,2000,5600,11200,5200,14,6,1,1/1,2000,R,5600,254,714
#4761,2005-04-25,5200,4800,9599,9400,14,2,2,1/2,-4000,R,4799,250,841
#4082,2002-05-07,2600,8800,5600,5400,13,6,1,1/1,5000,W,-3200,220,762
#3795,2001-02-16,3600,10400,10400,9300,26,5,3,2/2,2200,W,0,433,794
#3794,2001-02-15,4800,12800,14000,12000,32,5,1,2/3,2000,R,1200,541,889
#3792,2001-02-13,5300,13400,15000,12700,38,3,0,3/3,2800,R,1600,639,889
#3630,2000-05-19,800,4600,0,5500,18,6,3,2/3,500,W,-4600,295,810
#3629,2000-05-18,3000,10000,8000,8800,21,1,2,2/2,2500,W,-2000,350,889
#3626,2000-05-15,1400,9200,10000,9400,29,6,2,1/2,600,R,800,500,857
#3624,2000-05-11,800,6400,4800,8000,19,4,1,0/1,-1600,W,-1600,322,889
#3585,2000-03-17,4400,13000,13000,12000,30,3,2,1/1,2000,R,0,525,873
#3584,2000-03-16,4700,13900,14000,12000,29,4,2,2/2,2700,R,100,500,889
#3583,2000-03-15,3500,11500,11100,10800,28,3,3,2/2,1700,W,-400,467,905
#3582,2000-03-14,3000,10800,11000,9800,25,3,3,1/1,2000,R,200,441,905
#3581,2000-03-13,5100,14500,15000,12300,27,2,1,2/2,3300,R,500,467,921
