Larissa Kelly,,grad student,"El Cerrito, California"
12,542400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6808,2014-04-02,8400,22800,14799,18400,23,1,2,2/2,6400,W,-8001,383,810
#5657,2009-03-24,8600,21800,6800,17000,26,1,2,2/2,8000,W,-15000,433,937
#5656,2009-03-23,7400,12200,24400,12000,18,3,1,1/1,1000,R,12200,322,810
#5654,2009-03-19,12000,18000,30000,21600,28,3,1,1/2,-3000,R,12000,483,841
#5649,2009-03-12,8200,23400,26400,22000,26,1,3,1/1,2000,R,3000,458,905
#5473,2008-05-28,200,1800,1800,13800,19,4,1,0/2,-12000,R,0,333,857
#5472,2008-05-27,8200,21800,42800,19400,21,1,0,1/1,3000,R,21000,373,873
#5471,2008-05-26,7200,16800,33600,15800,22,2,0,1/1,2000,R,16800,390,873
#5470,2008-05-23,3400,18800,37597,15400,20,3,1,1/2,5000,R,18797,350,937
#5469,2008-05-22,6400,16000,28000,16000,21,2,1,0/0,0,R,12000,379,889
#5468,2008-05-21,6000,30400,35400,25200,29,2,2,2/2,8000,R,5000,500,810
#5467,2008-05-20,8000,42200,45200,30400,29,0,1,2/2,15000,R,3000,500,952
