Chuck Forrest,,lawyer,Bosnia and Herzegovina
16,288000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6836,2014-05-12,2800,15200,26200,12000,10,0,1,1/1,4800,R,11000,186,794
#6835,2014-05-09,6800,14400,11900,14400,21,1,0,0/0,0,W,-2500,362,746
#6766,2014-02-03,8700,16700,33400,15800,21,1,2,1/1,1500,R,16700,373,841
#4769,2005-05-05,6000,12800,0,12800,21,2,0,0/0,0,W,-12800,362,889
#4085,2002-05-10,3800,10600,21200,10600,19,3,3,0/0,0,R,10600,345,873
#4080,2002-05-03,8000,16000,32000,15600,24,3,1,1/1,1000,R,16000,424,937
Super Jeopardy!,91990-08-11,1600,11600,20901,11600,10,1,1,0/0,0,R,9301,190,906
#510,1986-11-21,2500,7800,8000,8300,25,3,3,0/1,-500,R,200,441,762
#509,1986-11-20,2000,7600,6600,7400,18,1,2,1/1,800,W,-1000,305,778
#507,1986-11-18,3600,10800,11000,11200,27,1,4,1/2,0,R,200,467,825
#505,1986-11-14,2400,11000,10000,12000,30,3,2,0/1,-1000,W,-1000,508,794
#280,1985-10-04,4400,12800,12800,10400,28,1,1,1/1,3000,R,0,492,825
#279,1985-10-03,3400,11800,15000,11200,28,0,1,2/2,1500,R,3200,483,778
#278,1985-10-02,3300,10500,14500,10500,24,0,3,0/0,0,R,4000,431,841
#277,1985-10-01,2400,10500,12500,10000,24,2,2,1/1,1500,R,2000,424,810
#276,1985-09-30,4500,15600,18000,14000,32,1,1,2/3,3000,R,2400,541,825
