Pam Mueller,,"junior at Loyola University, Chicago","Wilmette, Illinois"
14,109214
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6838,2014-05-14,2800,7200,1595,5600,10,1,0,1/1,2800,W,-5605,169,794
#6832,2014-05-06,5400,17400,14798,16200,19,2,0,1/2,2000,W,-2602,317,841
#6787,2014-03-04,4200,17000,17000,17000,22,2,0,0/0,0,W,0,379,794
#4778,2005-05-18,5200,16800,4899,12400,18,2,1,1/1,6000,W,-11901,305,857
#4777,2005-05-17,6600,14200,10000,11800,16,4,0,1/1,3000,W,-4200,271,841
#4772,2005-05-10,3600,14800,25201,14400,15,0,0,1/1,2000,R,10401,271,873
#4766,2005-05-02,5400,12000,18699,10200,19,4,3,1/1,3000,R,6699,339,825
#4729,2005-03-10,8600,30600,32201,28200,32,1,1,2/2,5200,R,1601,550,952
#3947,2001-10-30,600,2800,713,2800,11,3,1,0/0,0,W,-2087,190,841
#3942,2001-10-23,1300,6700,6399,6700,16,2,1,0/0,0,W,-301,276,841
#3732,2000-11-21,2300,6300,6300,6300,15,1,1,0/0,0,W,0,259,825
#3731,2000-11-20,2000,9000,11000,9800,20,1,1,1/2,0,R,2000,350,889
#3729,2000-11-16,3700,6700,13399,9200,23,3,3,1/2,-2000,R,6699,400,889
#3725,2000-11-10,1400,4800,7801,4800,14,1,0,0/0,0,R,3001,259,857
