Tad Carithers,,attorney,"Atlanta, Georgia"
11,116600
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4767,2005-05-03,9600,14400,13900,14400,21,2,2,0/0,0,W,-500,362,841
#4720,2005-02-25,6400,17200,31300,17200,24,3,1,1/1,1000,R,14100,424,873
#3950,2001-11-02,3600,6800,6800,6800,17,1,0,0/0,0,R,0,310,905
#3949,2001-11-01,1900,3300,1300,4300,17,6,2,1/2,0,W,-2000,283,825
#3946,2001-10-29,4400,10300,20500,10400,29,2,1,0/1,-100,R,10200,508,921
#3945,2001-10-26,3500,7200,4900,7300,22,5,4,0/1,-100,W,-2300,373,841
#3674,2000-07-20,3800,6600,11900,6600,24,3,1,0/0,0,R,5300,431,841
#3673,2000-07-19,3300,10100,10200,9800,25,4,1,2/2,1600,R,100,433,873
#3672,2000-07-18,1700,8500,12700,8500,23,4,0,1/1,1000,R,4200,407,857
#3671,2000-07-17,5100,11600,15000,11500,29,1,0,2/2,1200,R,3400,500,778
#3670,2000-07-14,3000,9800,10600,9600,26,2,2,1/1,1000,R,800,458,825
