Stefan Goodreau,,video game tester,"Los Angeles, California"
10,199170
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5925,2010-05-21,6200,17000,12999,17000,22,1,0,0/0,0,W,-4001,379,794
#5924,2010-05-20,5000,9400,5800,9400,19,5,1,0/0,0,W,-3600,328,794
#5921,2010-05-17,2000,13200,9199,13200,20,1,1,1/1,1600,W,-4001,339,841
#5920,2010-05-14,8000,14800,13575,14800,19,0,0,0/0,0,W,-1225,328,810
#5746,2009-09-14,10000,22400,13199,20000,28,1,1,1/1,3000,W,-9201,475,857
#5745,2009-07-24,8400,16400,16400,16400,23,0,0,0/0,0,R,0,414,841
#5744,2009-07-23,7400,22800,2735,20000,31,3,3,1/3,3600,W,-20065,508,714
#5743,2009-07-22,5400,22000,28801,22600,28,3,3,1/1,1400,R,6801,492,810
#5742,2009-07-21,1800,15400,17017,19800,28,6,1,1/3,-2400,R,1617,475,810
#5741,2009-07-20,10600,19400,19917,16200,24,1,1,1/1,4000,R,517,424,810
