Vijay Balse,,chemical engineer,"Chatham, New Jersey"
10,288010
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6807,2014-04-01,2400,8800,17600,8800,15,2,2,0/0,0,R,8800,276,905
#5925,2010-05-21,4000,8800,13800,8800,13,1,1,0/0,0,R,5000,241,794
#5924,2010-05-20,600,14600,9200,17000,16,2,5,1/2,-800,W,-5400,267,794
#5923,2010-05-19,5600,23600,20399,23200,22,0,0,1/1,2000,W,-3201,373,794
#5920,2010-05-14,400,15600,15100,17600,17,2,2,1/2,-400,W,-500,283,810
#5873,2010-03-10,-200,7900,4600,5000,10,4,1,1/1,3700,W,-3300,169,762
#5872,2010-03-09,2200,18000,11599,18200,17,1,3,1/1,1000,W,-6401,288,794
#5871,2010-03-08,4600,20800,14399,25400,27,2,1,2/3,-2000,W,-6401,443,889
#5870,2010-03-05,9000,17400,27601,15200,16,0,2,2/2,5000,R,10201,283,873
#5869,2010-03-04,3800,14600,28801,14600,16,0,0,0/0,0,R,14201,293,857
