Arthur Chu,,compliance analyst and voiceover artist,"Broadview Heights, Ohio"
12,446400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6793,2014-03-12,4800,6400,0,14000,23,6,2,0/1,-7600,W,-6400,390,841
#6792,2014-03-11,4000,17000,20000,18600,24,8,1,2/3,1000,R,3000,410,698
#6791,2014-03-10,6000,18200,16200,24000,26,4,3,1/3,-4200,W,-2000,426,730
#6785,2014-02-28,7200,22400,22800,15200,24,6,0,2/2,9800,R,400,417,857
#6784,2014-02-27,12000,44200,58200,27200,33,1,1,3/3,20400,R,14000,557,778
#6783,2014-02-26,7000,22600,22000,23400,30,2,0,1/2,1200,W,-600,500,810
#6782,2014-02-25,15000,29400,34400,26200,29,2,0,2/3,6000,R,5000,492,825
#6781,2014-02-24,4800,30800,20800,23600,29,2,1,2/2,10000,W,-10000,483,825
#6765,2014-01-31,5600,28000,20000,28000,24,1,1,1/1,2000,W,-8000,407,937
#6764,2014-01-30,6000,20800,18800,20600,26,3,1,2/3,3000,W,-2000,426,825
#6763,2014-01-29,4595,18200,26800,18200,23,5,0,1/3,800,R,8600,393,825
#6762,2014-01-28,4400,20000,37200,14400,18,2,3,1/1,7600,R,17200,322,841
