Jerome Vered,,writer,"Los Angeles, California"
18,432000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6770,2014-02-07,1000,8400,10000,12400,16,6,0,0/2,-4000,R,1600,283,778
#4783,2005-05-25,2200,8300,1000,6600,10,2,3,1/1,3300,W,-7300,169,857
#4782,2005-05-24,-1400,8200,3200,7400,12,5,1,1/1,2000,W,-5000,203,746
#4781,2005-05-23,3200,12400,16400,12400,12,0,2,0/0,0,R,4000,224,889
#4778,2005-05-18,4200,7800,7800,7000,17,4,1,1/1,1800,R,0,305,857
#4777,2005-05-17,5400,19600,23100,18200,23,4,3,1/1,3000,R,3500,407,841
#4776,2005-05-16,6200,26200,32200,23400,20,0,1,3/3,7600,R,6000,344,921
#4759,2005-04-21,7000,21000,30000,21000,26,0,4,0/0,0,R,9000,466,952
#4721,2005-02-28,6200,21500,27601,22600,25,1,0,1/2,500,R,6101,433,905
#1890,1992-11-20,2300,4000,0,6500,22,5,1,0/1,-2500,W,-4000,373,905
#1889,1992-11-19,3500,6900,700,6900,18,2,2,0/0,0,W,-6200,310,889
#1887,1992-11-17,2700,13200,17001,11300,27,2,1,2/2,3500,R,3801,467,952
#1882,1992-11-10,5400,12400,12500,12200,29,2,2,1/1,600,R,100,508,952
#1795,1992-05-22,3300,13500,15400,11900,33,4,2,2/2,3200,R,1900,567,937
#1794,1992-05-21,5700,24900,34000,17900,37,2,0,3/3,9300,R,9100,623,905
#1793,1992-05-20,6000,10000,7000,11000,32,3,2,1/2,-500,W,-3000,533,873
#1792,1992-05-19,3500,11900,16401,11500,25,3,3,1/1,900,R,4501,441,952
#1791,1992-05-18,5000,17600,24000,16400,34,1,3,1/1,2000,R,6400,593,984
