Dan Melia,,retired professor,"Berkeley, California"
13,166400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6787,2014-03-04,2200,5700,9700,8200,10,4,0,0/1,-2500,R,4000,186,794
#4776,2005-05-16,6000,9200,18400,9200,19,2,1,0/0,0,R,9200,345,921
#4753,2005-04-13,13000,33800,37600,29000,33,0,2,2/2,6600,R,3800,567,921
#4715,2005-02-18,0,17000,19601,17200,22,4,2,1/1,1400,R,2601,390,794
#3105,1998-02-13,4800,10000,10000,10000,23,1,1,0/0,0,R,0,414,889
#3104,1998-02-12,3300,8300,10300,8300,20,0,2,0/0,0,R,2000,362,905
#3101,1998-02-09,5100,11000,11801,12500,29,2,0,1/2,-1100,R,801,500,921
#3098,1998-02-04,1500,9100,8100,8300,23,6,0,1/1,1200,W,-1000,390,873
#2989,1997-09-04,5600,20600,24000,16800,34,1,2,2/2,5000,R,3400,583,905
#2988,1997-09-03,3300,10100,7100,9900,23,2,0,1/1,1200,W,-3000,390,841
#2987,1997-09-02,3300,7500,14900,6800,23,5,1,2/2,1700,R,7400,400,921
#2986,1997-09-01,3000,8400,16800,7200,20,1,2,1/1,2000,R,8400,356,873
#2985,1997-07-18,3400,8800,12800,8400,23,2,1,1/1,1000,R,4000,407,889
