Mike Dup�e,,post-graduate student,"Gainesville, Florida"
11,173800
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6790,2014-03-07,5100,14300,28300,13800,18,2,2,1/1,1500,R,14000,322,873
#4760,2005-04-22,8600,21700,16999,22000,29,3,2,2/2,2100,W,-4701,483,889
#4717,2005-02-22,6600,22500,22500,19400,23,3,2,2/2,5900,R,0,400,857
#2820,1996-11-29,1400,9400,9400,10200,25,4,1,2/2,1200,R,0,433,889
#2819,1996-11-28,5000,8900,12900,8700,27,3,2,2/2,1500,R,4000,467,952
#2818,1996-11-27,1700,11100,11100,11100,24,4,0,0/0,0,W,0,414,952
#2813,1996-11-20,3400,8800,13601,8900,31,6,0,2/2,1300,R,4801,533,968
#2686,1996-04-15,5700,13500,17000,13300,36,3,3,1/1,700,R,3500,627,905
#2685,1996-04-12,3800,9200,5199,10400,28,4,0,2/3,300,W,-4001,459,889
#2683,1996-04-10,3700,7300,13401,8300,28,5,0,0/1,-1000,R,6101,492,873
#2682,1996-04-09,6100,15800,15800,15700,34,1,2,1/2,500,W,0,567,937
