Stephanie Jass,,history professor,"Milan, Michigan"
11,187000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6807,2014-04-01,8000,7800,15600,10800,18,4,2,0/1,-3000,R,7800,322,905
#6549,2013-02-21,1800,10600,600,10600,14,1,0,0/0,0,W,-10000,241,905
#6543,2013-02-13,5800,13000,13000,13000,20,2,2,0/0,0,R,0,362,857
#6458,2012-10-17,6400,16400,14000,16400,23,3,0,0/0,0,W,-2400,397,730
#6457,2012-10-16,6200,20600,23600,20600,23,1,1,1/1,1200,R,3000,407,810
#6456,2012-10-15,9200,21000,25000,22600,30,2,3,2/3,-200,R,4000,508,762
#6455,2012-10-12,6600,14400,8800,15000,24,3,2,1/2,1000,W,-5600,400,730
#6454,2012-10-11,5600,24400,23400,23200,28,2,0,2/2,4000,W,-1000,467,810
#6453,2012-10-10,5800,22200,19200,21800,23,2,0,2/2,2800,W,-3000,383,714
#6452,2012-10-09,11400,28200,30570,27200,33,2,2,2/2,3000,R,2370,567,841
#6451,2012-10-08,8000,22000,17000,23200,26,2,2,2/3,600,W,-5000,426,746
