Russ Schumacher,,university professor,"Fort Collins, Colorado"
13,93587
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6836,2014-05-12,800,1600,0,1600,6,3,0,0/0,0,W,-1600,103,794
#6832,2014-05-06,2600,15400,16700,15400,15,2,2,0/0,0,R,1300,276,841
#6808,2014-04-02,2800,15400,15400,11200,17,3,1,1/1,5000,W,0,288,810
#4735,2005-03-18,3200,14400,12299,11600,15,1,1,1/1,3600,W,-2101,254,794
#4615,2004-10-01,5800,17600,27850,15600,21,1,0,2/2,4000,R,10250,367,730
#4614,2004-09-30,1600,13200,9600,13200,14,4,0,0/0,0,W,-3600,241,810
#4611,2004-09-27,6400,9300,11799,12800,19,1,0,0/1,-3500,R,2499,339,698
#4609,2004-09-23,2000,6400,12400,6400,7,2,0,0/0,0,R,6000,138,778
#4399,2003-10-23,6000,14000,5599,10800,16,1,2,2/2,5000,W,-8401,267,746
#4398,2003-10-22,12100,21300,17300,19400,26,2,0,1/1,2500,W,-4000,441,762
#4397,2003-10-21,3000,10600,18001,11600,19,5,0,0/1,-1000,R,7401,339,794
#4396,2003-10-20,7200,24800,22300,23800,29,2,0,3/3,5000,W,-2500,475,714
#4395,2003-10-17,6800,12800,7199,14400,28,7,1,1/2,400,W,-5601,467,683
