Keith Whitener,,research chemist,"Washington, D.C"
13,325000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6810,2014-04-04,1800,4200,1,4200,13,4,1,0/0,0,W,-4199,224,746
#6552,2013-02-26,5600,8400,16800,8400,15,0,1,0/0,0,R,8400,276,825
#6551,2013-02-25,4800,7400,4800,13600,18,3,2,1/3,-4200,W,-2600,295,873
#6550,2013-02-22,2200,34200,34200,28400,27,1,3,1/2,7400,W,0,450,857
#6546,2013-02-18,4200,16000,26601,12600,17,1,1,1/1,5000,R,10601,305,905
#6470,2012-11-02,3000,16300,4599,11600,17,4,4,1/2,5900,W,-11701,283,810
#6469,2012-11-01,6400,25200,29199,17600,22,2,0,3/3,12200,R,3999,377,810
#6468,2012-10-31,8000,16800,18001,16400,18,3,1,1/1,1000,R,1201,322,778
#6467,2012-10-30,5600,11200,12399,10800,20,4,0,1/2,2000,R,1199,350,730
#6466,2012-10-29,7000,10800,21599,19800,25,2,4,1/3,-8000,R,10799,426,873
#6465,2012-10-26,5800,17000,15199,16400,23,4,0,2/2,2400,W,-1801,383,714
#6464,2012-10-25,9400,18200,26200,17800,27,2,2,1/1,2000,R,8000,475,698
#6463,2012-10-24,4500,12500,25000,13000,18,2,2,1/1,500,R,12500,322,857
