Julia Collins,,supply chain professional,"Kenilworth, Illinois"
21,327705
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6851,2014-06-02,9400,11000,0,13400,21,3,2,1/2,-1400,W,-11000,350,730
#6850,2014-05-30,6800,11600,18100,15800,21,4,2,0/2,-4200,R,6500,367,778
#6849,2014-05-29,4200,23200,18400,24600,27,2,4,2/3,1400,W,-4800,443,794
#6848,2014-05-28,3800,18900,18900,19800,24,1,0,1/2,1100,R,0,417,746
#6847,2014-05-27,13600,28400,35000,22800,29,2,2,2/2,7200,R,6600,500,778
#6846,2014-05-26,9600,31400,22800,28600,29,1,4,2/2,5400,W,-8600,483,873
#6845,2014-05-23,11600,30400,30800,28200,37,4,2,3/3,5200,R,400,623,841
#6844,2014-05-22,6700,20300,22690,19600,23,1,1,2/2,3500,R,2390,400,825
#6843,2014-05-21,5000,17800,15800,17400,22,2,3,1/2,1600,W,-2000,367,651
#6842,2014-05-20,9800,20000,14300,21800,26,3,2,1/2,-1000,W,-5700,433,841
#6841,2014-05-19,5000,16400,10700,18200,22,2,2,1/2,-600,W,-5700,367,810
#6830,2014-05-02,8200,18600,21900,17600,24,1,3,1/1,1600,R,3300,424,794
#6829,2014-05-01,2600,16400,28100,15000,19,3,2,2/2,5000,R,11700,333,730
#6828,2014-04-30,4600,21200,25700,21200,25,2,1,1/2,2000,R,4500,433,857
#6827,2014-04-29,8000,25100,20100,22800,25,2,2,1/1,3500,W,-5000,424,794
#6826,2014-04-28,4700,19000,22000,18200,20,1,1,2/2,3000,R,3000,350,810
#6825,2014-04-25,9400,20600,29700,20600,25,1,1,0/0,0,R,9100,448,810
#6824,2014-04-24,8400,20800,20005,22000,26,1,3,1/2,0,W,-795,433,873
#6823,2014-04-23,3900,12300,16500,12200,18,2,1,1/1,700,R,4200,322,762
#6822,2014-04-22,7600,18400,21000,19600,25,1,3,1/2,0,R,2600,433,714
#6821,2014-04-21,1600,8000,15605,8000,16,3,1,0/0,0,R,7605,293,619
