ID,numgames,totalwinnings,name,year,occ,loc,studentflag
3480,2,0,Karen Lempert,2002,librarian,"Walpole, Massachusetts",
5988,1,13200,Peter Latouf,2009,state fair coordinator,"Utica, Michigan",
5989,1,12400,Evelyn Chester,2009,park ranger,"Washington, D.C",
5982,1,19201,Sue Romberg,2009,homemaker and volunteer,"Grapevine, Texas",
5983,1,7112,Alex Hooper,2009,lawyer,"Cedar Key, Florida",
5980,1,1199,Anthony Resnick,2009,law student,"Butler, Pennsylvania",
5981,3,62400,Stefanie Tomko,2009,software project manager,"Bellevue, Washington",
5986,1,16000,Daniel Wilkinson,2009,graduate student,"Woodbury, Georgia",
5987,8,195208,Liz Murphy,2009,foreign service officer,"Scranton, Pennsylvania",
5984,1,4400,Wright Polak,2009,tea salesman,"Yonkers, New York",
5985,2,53800,Melanie Baker-Streevy,2009,United Methodist pastor,"Parma, Michigan",
6487,1,5000,Joy Forrester,2004,mother of two,"Toledo, Ohio",
6970,1,50,Richard Prince,1995,production manager,"Studio City, California",
6796,1,799,Elizabeth Richards,2010,attorney,"St. Louis, Missouri",
6797,2,43600,Ken Starnes,2010,telecommunications consultant,"Little Rock, Arkansas",
6971,1,7400,Michael McGuinness,1995,teacher,"San Francisco, California",
6798,1,10200,Rick Reed,2010,electrical engineer,"Charlottesville, Virginia",
6799,2,39998,Amy Wilson,2010,creative writing and women's studies student,"Portland, Oregon",
2147,1,100,Kathy Damstra,2006,assistant attorney general,"Tucson, Arizona",
270,1,11599,Joann Chan,1991,senior,"Richmond, Virginia",TRUE
271,1,1600,Robert Fielding,1991,junior,"Arcadia, California",TRUE
273,2,21400,Richard Kaplan,1992,retired attorney,"Los Angeles, California",
274,2,3598,John Kelly,1992,retired military Air Force officer,"San Antonio, Texas",
275,1,-800,Pat Gmeiner,1989,copywriter,"Rocky River, Ohio",
276,1,1,David Burnett,1989,freelance photographer,"New York, New York",
278,27,275427,Brad Rutter,2000,college student,"Lancaster, Pennsylvania",
279,1,10200,Regina Sutton,2000,customer service representative,"Birmingham, Alabama",
2146,2,37200,Theresa Larson,2006,music director,"Katy, Texas",
1370,1,3500,Sharon Druck,1997,junior,"Brooklyn, New York",TRUE
1212,3,28803,Gay Mollette,1996,procurement manager,"Detroit, Michigan",
1373,2,14200,Fran Bigman,1997,junior,"Richmond, Virginia",TRUE
3519,1,-1000,Derek Doran-Wood,2002,actor,"Sherman Oaks, California",
3518,1,2000,Peggy Pancella,2002,music teacher and mom,"St. Louis, Missouri",
3513,2,0,Umiko Post,2002,stay-at-home mom,"Peoria, Illinois",
3512,1,0,Aaron Yeater,2002,graduate student,"New Haven, Connecticut",
3511,1,0,Shasa Dobrow,2002,musician and graduate student,"Vancouver, Washington",
3510,2,0,Andy Seff,2002,law student,"Baltimore, Maryland",
3517,3,46797,Erik Rockom,2002,finish carpenter,"Seattle, Washington",
3516,1,3999,Judy Taisch,2002,technical representative,"San Antonio, Texas",
3515,1,0,Lori Wright,2002,benefits consultant,"Atlanta, Georgia",
3514,2,0,Lynda Del Genis,2002,technical writer,"Baltimore, Maryland",
2688,1,5,Connie Toohey,2006,financial secretary and bartender,"Solomons, Maryland",
2689,2,51100,Jim Spilman,2006,purchasing manager,"Gloucester, Massachusetts",
2685,1,11599,Susan Turi,2006,social worker,"Woodmere, New York",
2686,1,11201,Monica Sousa,2006,junior high school teacher,"Fremont, California",
2687,1,2700,Michael Green,2006,graduate student,"Tempe, Arizona",
2680,2,3850,Jack Campion,1000,sales executive,"Los Angeles, California",
2681,7,82593,Chris Mazurek,2006,assistant professor,"Columbia, Missouri",
2682,1,4599,Jason Stuart,2006,substitute teacher,"San Diego, California",
2683,1,25100,Joan Nelson,2006,youth minister,"Richmond, Virginia",
1613,1,8399,Val Leith,1998,elementary school teacher,"Middleburgh, New York",
99,2,18800,Vicky Manos,2004,sophomore at St. John�s University,"Levittown, New York",TRUE
98,6,189252,Kermin Fleming,2004,junior at Carnegie Mellon University,"Lexington, Kentucky",TRUE
91,1,29100,Ryan Cook,2004,graduate student,"Eveleth, Minnesota",
90,1,1,Leo Wolpert,2004,college student,"Fairfax, Virginia",
93,1,1,Robert Kirkpatrick,2004,animator,"Miami Beach, Florida",
92,1,1300,Jennifer Peebles,2004,newspaper editor,"Madison, Tennessee",
95,1,22800,Jeff Hoppes,2004,graduate student,"El Cerrito, California",
94,1,6800,Dave Oosterhuis,2004,graduate student,"Minneapolis, Minnesota",
97,2,22000,Amory Jendrek,2004,freshman at Davidson College,"Knoxville, Tennessee",TRUE
96,2,28000,Casey Retterer,2004,sophomore at the University of Maryland,"Olney, Maryland",TRUE
8243,1,1000,Lindsey Chismark,2013,business analyst,"Madison Heights, Michigan",
1177,1,100,Joel Silbert,1996,psychologist,"Ardsley, New York",
1176,1,0,Stuart Nadler,2005,writer,"Brooklyn, New York",
1175,1,14800,Paul Tavianini,2005,office assistant,"Burbank, California",
1174,5,32000,Barbara Walker,1996,elementary school principal,"Westminster, Maryland",
1173,1,2399,Glenn Jessee,1996,attorney,"Washington, D.C",
1172,1,6199,Susan Goldsamt,1996,training specialist,"Silver Spring, Maryland",
1171,1,4000,Aman Birk,2005,,"Irvine, California",
1170,1,-1200,Veronica Fazio,2005,,"Roselle, Illinois",
1179,1,0,Kim Strassburger,2005,private tutor,"Espanito, California",
1178,1,101,Luis Gutierrez,1996,health care consultant,"Bethesda, Maryland",
7188,1,-400,Marty Christy,2011,language arts middle school teacher,"Alexandria, Virginia",
7189,1,0,Mai Do-Burrous,2011,stay at home mother,"New York, New York",
877,1,0,Kate Morrical,2005,structural engineer,"Silver Spring, Maryland",
7180,1,7800,Johnny Marigliano,2011,pizza maker,"Brooklyn, New York",
7181,1,1700,Jean Dupon,2011,college chemistry instructor,"San Carlos, California",
7182,1,3400,Ron Roberts,2011,poker impresario,"Pompano Beach, Florida",
7183,2,39202,Molly Rosenbusch,2011,night court clerk,"Twin Lakes, Idaho",
7184,1,0,Mike Huijon,2011,medical student,"Pittsburgh, Pennsylvania",
7185,3,9600,Fred Cofone,2011,copy editor,"Old Greenwich, Connecticut",
7186,1,3600,Kristi Springer,2011,proposal writer,"Naperville, Illinois",
7187,2,34802,Roger Mueller-Kim,2011,high school social studies teacher,"Dublin, California",
1227,2,200,Leslie Burns-Dell'Acqua,2005,creative marketing consultant,"San Diego, California",
875,1,2700,Jim Henderson,1996,attorney,"Sacramento, California",
622,27,275427,Brad Rutter,2000,TV quiz show host,"Lancaster, Pennsylvania",
872,1,0,Jamie Ball,2005,attorney,"North Hills, California",
1225,2,23198,Brad Smith,1996,newspaper reporter,"Winnetka, California",
873,1,5000,Jim O'Malley,2005,retired police sergeant,"the Bronx, New York",
620,2,20000,Jim Vercolen,1995,part-time teacher,"Rochester, New York",
8549,1,-800,Tory Metzger,1985,script reader,"Raleigh, North Carolina",
8548,1,9250,Stacie Larson,2013,public librarian,"Orlando, Florida",
8019,1,4100,John Matthews,2012,camp counselor and law student,"McLean, Virginia",
8018,1,1,Matt Bibb,2012,administrative assistant,"North Hollywood, California",
8017,1,4399,Jennifer Hughs,2012,bookstore manager,"New York, New York",
8016,1,200,Felicia McGowan,2012,administrative coordinator,"Baltimore, Maryland",
8015,1,7000,Craig Chern,2012,assistant principal,"Wall Township, New Jersey",
8014,1,0,Martha Warren,2012,opera singer and voice teacher,"Boxborough, Massachusetts",
8013,1,2600,Amanda Burton,2012,graduate student of library science,"Chillicothe, Ohio",
8012,11,187000,Stephanie Jass,2012,history professor,"Milan, Michigan",
8011,1,5600,Clint Stiffler,2012,attorney,"Dallas, Texas",
8010,2,28802,Mike Lonesky,2012,federal investigator,"Clinton, New York",
7456,1,20400,Andrew Bach,2011,lawyer,"Columbia, Missouri",
7457,1,4600,Graig Zethner,2011,computer engineer,"East Meadow, New York",
7454,1,4600,Maggie Diamond,2011,university development writer,"St. Louis, Missouri",
7455,1,8398,Edgar Mihelic,2011,educator,"Chicago, Illinois",
7452,1,200,Tim Wagner,2011,graduate student of meteorology,"Madison, Wisconsin",
7453,4,126400,Linda Percy,2011,retired emergency room physician,"Connellsville, Pennsylvania",
7450,1,2400,Susan Gliner,1990,attorney,"the Bronx, New York",
7451,1,599,Dick Dobrow,1990,physician,"Vancouver, Washington",
1220,9,54000,Maria Wenglinsky,2005,teacher,"Salt Lake City, Utah",
4590,1,9400,Noah Kaye,2008,solar energy lobbyist and grad student,"Washington, D.C",
