ID,studentflag
5988,
5989,
5982,
5983,
5980,
5981,
5986,
5987,
5984,
5985,
6796,
6797,
6798,
6799,
270,TRUE
271,TRUE
273,
274,
275,
276,
278,
279,
2143,
2142,
3519,
3518,
3513,
3512,
3511,
3510,
3517,
3516,
3515,
3514,
2688,
2689,
2685,
2686,
2687,
2680,
2681,
2682,
2683,
99,TRUE
98,TRUE
91,
90,
93,
92,
95,
94,
97,TRUE
96,TRUE
1177,
1176,
1175,
1174,
1173,
1172,
1171,
1170,
1179,
1178,
7188,
876,
877,
7180,
7181,
7182,
7183,
7184,
3432,TRUE
7186,
7187,
623,
875,
622,
872,
1225,
873,
620,
8549,
870,
8019,
8018,
8017,
627,
8015,
871,
8013,
8012,
8011,
626,
7456,
4592,
7454,
7455,
7452,
625,
7450,
2036,
1220,
4590,
7458,
7459,
4591,
4596,
4849,
4594,
4595,
2749,
4845,
4598,
8291,
4599,
4734,
8290,
4735,
8293,
8292,
2039,
8295,
4738,
8294,
4739,
8297,
8296,
393,
392,
391,
390,
396,
395,
394,
399,
398,
2309,
2308,
4729,
4728,
2301,
2300,
2303,
2302,
2305,
2304,
4723,
2306,
5847,
5846,
5845,
5844,
5843,
5842,
5841,
5840,
5849,
5848,
3748,
3749,
3746,
3747,
3744,
3745,
3742,
3743,
3740,
3741,
4620,
4621,
4622,
4623,
4624,
4625,
4626,
4627,
4628,
4629,
179,
178,
177,
176,
175,
174,
173,
172,
171,
170,
7218,TRUE
7219,TRUE
7210,TRUE
7211,TRUE
7212,TRUE
7213,TRUE
7214,TRUE
7215,TRUE
7216,TRUE
7217,TRUE
6213,
6212,
6211,
6210,
6819,
6818,
6811,
6813,
6812,
6814,
6817,
6816,
8913,
8848,
8849,
8840,
8841,
8842,
8843,
8844,
8845,
8846,
8915,
7669,
7668,
7661,
7660,
7663,
7662,
7665,
7664,
7667,
7666,
1768,
1762,
1763,
1760,
1761,
1766,
1767,
1764,
1765,
692,
693,
690,
691,
696,
697,
694,
695,
699,
1548,
1549,
8710,
8711,
8712,
8713,
8714,
8715,
8716,
8717,
8718,
8719,
5618,
5619,
5612,
5613,
5610,
5611,
5616,
5617,
5614,
5615,
7116,
7118,
6778,
6779,
6774,
6775,
6776,
6777,
6770,
6771,
6772,
6773,
258,TRUE
259,TRUE
252,
253,
250,TRUE
251,
257,TRUE
254,
255,
3689,TRUE
3683,
